mouth open,eyes squinting,furry,scary,excited,spotted,stoic,whiskers,x,y,image_filename
0.12239514,0.17513064,0.25174084,0.17665839,0.1369671,0.19322774,0.20791681,0.17468303,8.211985,7.8861823,animal-72.jpg
0.12516479,0.15604149,0.19700268,0.14069897,0.15394205,0.21692312,0.19560249,0.15661804,9.31427,10.708612,animal-73.jpg
0.14936398,0.15480058,0.19995588,0.16956165,0.14699706,0.21388361,0.18671428,0.12803465,10.505642,8.915339,animal-74.jpg
0.10954642,0.16042963,0.2131424,0.14988752,0.116442166,0.21926019,0.19020322,0.16908097,9.101634,10.260905,animal-75.jpg
0.14379406,0.19892278,0.18920489,0.1878541,0.14248262,0.2068649,0.16688043,0.17967294,7.7663565,6.175706,animal-76.jpg
0.15210424,0.19642639,0.2428788,0.20273858,0.14275996,0.20044759,0.18588191,0.19164899,8.785378,5.448757,animal-77.jpg
0.19036399,0.20202476,0.24376005,0.18851161,0.17961404,0.20729312,0.22245136,0.1589327,9.938569,6.571823,animal-78.jpg
0.1609266,0.17739323,0.23897022,0.18315797,0.17334399,0.2241275,0.22470212,0.15149035,10.1354885,7.093413,animal-79.jpg
0.12336393,0.15041608,0.21361178,0.15489314,0.15016052,0.21875702,0.1725038,0.15682773,9.003155,10.282427,animal-80.jpg
0.12865001,0.20966503,0.22084013,0.1417485,0.13599744,0.17727773,0.17814381,0.24849,-4.9551473,10.110725,animal-81.jpg
0.12883756,0.18256095,0.2315081,0.14138857,0.12772189,0.20852764,0.2180607,0.15163805,10.742931,9.32332,animal-82.jpg
0.11499053,0.13502663,0.21037129,0.16582978,0.14189944,0.20757738,0.19948104,0.14446795,10.365762,9.786265,animal-83.jpg
0.118768066,0.1895836,0.27728358,0.18138938,0.14411646,0.19891936,0.17391178,0.21349391,5.431023,8.386712,animal-84.jpg
0.15115122,0.18561745,0.20279638,0.17126617,0.14051434,0.20049834,0.1813185,0.16005151,8.634579,6.742794,animal-85.jpg
